"time","cohort","age","catatrans","obs_proportion","mx","my","catatransT","OD_proportion","OC_proportion","SD_proportion","SC_proportion","sqdif_OD","sqdif_OC","sqdif_SD","sqdif_SC"
2007,1981,26,"pI",0.253869969040248,"I","I","pI07",0.25902938655058,0.264921374327971,0.258523266571124,0.268539015999495,2.66195890459199e-05,0.000122133558833525,2.1653177910864e-05,0.000215180938692613
2008,1981,27,"pI",0.253869969040248,"I","I","pI08",0.258580902570194,0.256121345989982,0.257555809218977,0.224875802464048,2.21928947235763e-05,5.06869816979425e-06,1.35854178231324e-05,0.000840661695448415
2009,1981,28,"pI",0.237358101135191,"I","I","pI09",0.258336797271652,0.246864413311416,0.256953775965487,0.146488708046149,0.000440105691585964,9.03699711918463e-05,0.000383990472054693,0.00825724660037084
2010,1981,29,"pI",0.230134158926729,"I","I","pI10",0.258203933225632,0.237252393650972,0.256580042991388,0.0100178185505163,0.000787912229191351,5.06692655894255e-05,0.000699384783961432,0.0484512033006165
2000,1982,18,"pI",0.281065088757396,"I","I","pI00",0.281065088757396,0.281065088757396,0.281065088757396,0.281065088757396,0,0,0,0
2001,1982,19,"pI",0.304733727810651,"I","I","pI01",0.296512465483235,0.280882981309011,0.285054136643208,0.28082073964497,6.75891542561921e-05,0.000568858108685479,0.000387286308517687,0.000571831003011975
2002,1982,20,"pI",0.27810650887574,"I","I","pI02",0.261465529932742,0.278958175495234,0.26950380606994,0.27960540765355,0.000276922180181302,7.25336030761352e-07,7.40064955649211e-05,2.2466975461225e-06
2003,1982,21,"pI",0.255424063116371,"I","I","pI03",0.256884465382036,0.27535182528101,0.258484671657569,0.276447441391449,2.13277477755871e-06,0.000397115704890433,9.36732464245344e-06,0.000441982434097012
2004,1982,22,"pI",0.2534516765286,"I","I","pI04",0.24905365177372,0.270164560139281,0.25131217829192,0.269608326601276,1.93426217445333e-05,0.000279320478584179,4.57745270475623e-06,0.000261037341570926
2005,1982,23,"pI",0.235700197238659,"I","I","pI05",0.246462818964324,0.263530806065531,0.246727509152683,0.256035516991101,0.000115834026409765,0.000774542787674373,0.000121601608049176,0.000413525229434048
2006,1982,24,"pI",0.241617357001972,"I","I","pI06",0.244373479820343,0.255611998032312,0.243817294881142,0.230445658909953,7.59621298994474e-06,0.000195849977568066,4.83972667220578e-06,0.00012480683825924
2007,1982,25,"pI",0.239644970414201,"I","I","pI07",0.243415198528232,0.246589175207044,0.241977304359476,0.183796793080652,1.42146200318276e-05,4.82219802049417e-05,5.43978163227941e-06,0.0031190189114796
2008,1982,26,"pI",0.214990138067061,"I","I","pI08",0.242799875834913,0.23665542133692,0.240817126223544,0.100753882863723,0.000773381514716676,0.00046938449916324,0.000667033317235124,0.0130499220028822
2009,1982,27,"pI",0.235700197238659,"I","I","pI09",0.242479557801338,0.226008558215457,0.240087015685358,-0.0444992551859607,4.59597296388088e-05,9.39278669560507e-05,1.9244176084303e-05,0.0785117331390566
2010,1982,28,"pI",0.212031558185404,"I","I","pI10",0.242290085305604,0.214844430180063,0.239628185392162,-0.295157249587593,0.000915578463483833,7.91224885833715e-06,0.000761573833188764,0.257240486730195
2000,1983,17,"pI",0.241248817407758,"I","I","pI00",0.241248817407758,0.241248817407758,0.241248817407758,0.241248817407758,0,0,0,0
2001,1983,18,"pI",0.293282876064333,"I","I","pI01",0.273447600756859,0.257776789865106,0.280775945462471,0.23886761589404,0.000393438146523287,0.00126068215718693,0.000156423313079796,0.00296102053940069
2002,1983,19,"pI",0.280983916745506,"I","I","pI02",0.2740420909682,0.270826720772098,0.278630023386982,0.236480227891769,4.81889451224787e-05,0.000103168630042219,5.54081394330437e-06,0.00198057832159022
